Trait Name,Archetype,Kiss (Benefits),Curse (Drawbacks),Triggers/Conditions,Affected Stats/Behaviors,Net Budget,Dev Review
Achievement Hunter,Wildcard,"First Clear Master: +30/50/75% gold on first clear (Normal/Heroic/Mythic); Challenge Obsession: +40% materials (deathless), +30% fame (speed), +25% gold (full party); Guild Achievement Unlocked: +15 morale to party on completion",Repeat Content Penalty: -10% personal gold on repeat runs at same difficulty; cannot trigger challenge bonuses on repeats,"First clear per dungeon, difficulty tier, challenge completion (deathless/speed/full party)","Gold, Materials, Fame, Morale",22,Needs Review
AFK Farmer,Specialist,Comeback Mechanic: +25% damage +10% hit after skipping turn; Multitasking Master: +10 morale on skip; Defensive Cover: +8% DEF to all allies while skipping,Speed Penalty: -10% AGI for 1 turn if acts first in round,"Skip turn action, turn order","Damage, Hit Chance, Morale, DEF, AGI",11,Needs Review
Altoholic,Enabler,Recruitment Discount (Guild): -20% recruitment cost; Self-Recruitment: -30% own recruitment cost; Variety Damage: +12% damage with 4 different classes; XP Bonus: +6% party XP with 4 different classes,Class Duplication Penalty: -8% damage when 2+ party members share a class,Party class composition (4 different classes vs duplicates),"Recruitment Cost, Damage, XP",23,Needs Review
Backseat Gamer,Enabler,I Told You So: +12% damage vs Suggested target; Tactical Advice: +10% Accuracy +5% Crit for allies attacking Suggested target; Good Call: +2 party morale on Suggested target kill,Ignored Advice: -10% AGI and -2 party morale when ally attacks non-Suggested target (1 turn CD),"Suggestion/marking system, ally target selection","Damage, Accuracy, Crit, AGI, Morale",11,Needs Review
Boomer,Wildcard,"Old School Resilience: +15% VIT +15% DEF permanently; Veteran Experience: 20% chance to ignore negative status effects; Back In My Day: Party immune to Panic/Fear while above 50% HP, +5 morale/turn to lowest ally",Slow Reflexes: -20% AGI permanently; -10% damage for 2 turns if using Complex/Combo skills,"HP threshold (50%), skill complexity tags","VIT, DEF, AGI, Damage, Status Immunity, Morale",11.5,Needs Review
Casual Andy,Wildcard,Beginner's Luck: 15% chance for +50% damage and 0 morale cost; Vibe Check: 20% chance to negate incoming damage; Positive Vibes: 25% chance per round for +10 party morale,Mechanically Challenged: 10% chance to fumble (-50% damage or -10 morale),RNG proc chances on actions and rounds,"Damage, Evasion, Morale",15.5,Needs Review
Completionist,Enabler,Full Clear Focus: +4% damage +4% crit per living ally (max +12%/+12%); OCD Efficiency: +10% missing morale on first use of each skill; Nobody Left Behind: +10% party DEF with all 4 alive,Run Failed: -20% damage -20% AGI for rest of fight if any ally dies,"Party survival count, skill usage tracking, ally death events","Damage, Crit, Morale, DEF, AGI",13,Needs Review
Crazy Cat Lady,Selfish,Litter Box Loot: +18% gold +12% materials; Feline Reflexes: +10% evasion permanently; Kitty Cuddles: +5 morale to party between dungeon rooms,Distracted by Cats: Every 3rd turn stunned (pet cat); -5% party gold (Cat Food Tax),"Turn count (every 3rd), room transitions","Gold, Materials, Evasion, Morale, Stun",16,Needs Review
Drama Queen,Wildcard,Main Character Moment: Gain Overdrive when hit by 3+ enemies (once per fight); Clutch Performance: +10% crit when any ally <50% HP; We Got This: +5% party crit when ally <50% HP,Insufferable Bragging: -8 party morale on landing a crit (2 turn CD),"Hit by 3+ enemies, ally HP thresholds (<50%), personal crits","Overdrive, Crit, Morale",14,Needs Review
Guild Leader,Leader,Lead from the Front: +15% damage in slot 1; Tactical Formation: +8% damage to slots 2-3 while in slot 1; Diverse Command: -1 CD to all party skills round 1 if all traits unique,Dishonored: Lose all Kiss bonuses for 2 turns if moved from slot 1; Exposed Leader: -8% VIT for 2 turns when displaced,"Positional (slot 1), party trait uniqueness, displacement","Damage, Cooldowns, VIT",13,Needs Review
