Spell Name,Class,Specialization,Category,Formula,Description,CD,Target Type,Damage Type,Base Values,Dev Status
Shield Bash,Warrior,Guardian,Damage,40 + 60% STR,Basic attack with 15% chance to Daze target for 1 turn,0,Single,Physical,"Base: 40, Scaling: 60% STR, Daze: 15% chance",OK
Challenge,Warrior,Guardian,Utility,0,Hard taunt forcing single enemy to attack Guardian for 2 turns + 20% DEF,3,Single,None,"Taunt: 2 turns, DEF: +20%",OK
War Cry,Warrior,Guardian,Buff,0,Soft taunt (increased likelihood) on all enemies + 10% DEF to all allies for 2 turns,5,All Enemies + All Allies,None,"Soft Taunt: 2 turns, Party DEF: +10%",OK
Shield Wall,Warrior,Guardian,Utility,0,Block next 2 attacks completely and reflect 50% damage back,6,Self,None,"Blocks: 2 attacks, Reflect: 50%",OK
Revenge,Warrior,Guardian,Damage,60 + 100% STR,If hit last turn: 2x damage + apply Bleed (5% STR/turn for 3 turns),4,Single,Physical,"Base: 60, Scaling: 100% STR, Bleed: 5% STR/turn",OK
Thorns Aura,Warrior,Guardian,Passive,15 + 30% STR,Reflect damage to melee attackers,0,Aura,Physical,"Base: 15, Scaling: 30% STR",OK
Cleaving Strike,Warrior,Berserker,Damage,40 + 60% STR,AoE basic attack hitting 1 adjacent enemy + gain 1 Rampage stack,0,Adjacent 1,Physical,"Base: 40, Scaling: 60% STR, Rampage: +1",OK
Blood Frenzy,Warrior,Berserker,Buff,0,Sacrifice 15% HP for +25% damage +15% crit +2 Rampage stacks for 2 turns,2,Self,None,"HP Cost: 15%, Damage: +25%, Crit: +15%",OK
Bladestorm,Warrior,Berserker,Damage,70 + 100% STR,AoE damage with +20% per Rampage stack. At 5 stacks: apply Bleed to all damaged enemies,6,All Enemies,Physical,"Base: 70, Scaling: 100% STR, Rampage Bonus: +20%/stack",OK
Whirlwind,Warrior,Berserker,Damage,50 + 70% STR,AoE damage that extends existing Bleed effects by 1 turn,4,Adjacent 2,Physical,"Base: 50, Scaling: 70% STR, Bleed Extend: +1 turn",OK
